query,dop,runs,avg_time_ms,min_time_ms,max_time_ms,run_times_ms
1,16,3,1388.20,1362.96,1421.53,"1362.96,1421.53,1380.11"
2,16,3,7644.15,711.20,14057.46,"711.20,14057.46,8163.79"
